"code","id","account_type","chart_template_id/id","name","note","reconcile"
"330","ba_fbih_330","equity","l10n_ba.l10n_ba_fbih_chart_template","Revalorizacione rezerve iz osnova revalorizacije stalnih sredstava",,
"331","ba_fbih_331","equity","l10n_ba.l10n_ba_fbih_chart_template","Razlike nastale prevođenjem finansijskih izvještaja u valutu prezentacije",,
"332","ba_fbih_332","equity","l10n_ba.l10n_ba_fbih_chart_template","Nerealizovani dobici iz osnova finansijskih sredstava raspoloživih za prodaju",,
"333","ba_fbih_333","equity","l10n_ba.l10n_ba_fbih_chart_template","Nerealizovani gubici iz osnova finansijskih sredstava raspoloživih za prodaju",,
"339","ba_fbih_339","equity","l10n_ba.l10n_ba_fbih_chart_template","Ostale revalorizacione rezerve i nerealizovani dobici i gubici",,
"340","ba_fbih_340","equity","l10n_ba.l10n_ba_fbih_chart_template","Neraspoređena dobit ranijih godina",,
"341","ba_fbih_341","equity","l10n_ba.l10n_ba_fbih_chart_template","Neraspoređena dobit izvještajne godine",,
"342","ba_fbih_342","equity","l10n_ba.l10n_ba_fbih_chart_template","Neraspoređeni višak prihoda ranijih godina",,
"343","ba_fbih_343","equity","l10n_ba.l10n_ba_fbih_chart_template","Neraspoređeni višak prihoda izvještajne godine",,
"350","ba_fbih_350","equity","l10n_ba.l10n_ba_fbih_chart_template","Gubitak ranijih godina",,
"351","ba_fbih_351","equity_unaffected","l10n_ba.l10n_ba_fbih_chart_template","Gubitak izvještajne godine",,
"352","ba_fbih_352","equity","l10n_ba.l10n_ba_fbih_chart_template","Nepokriveni višak rashoda ranijih godina",,
"353","ba_fbih_353","equity","l10n_ba.l10n_ba_fbih_chart_template","Nepokriveni višak rashoda izvještajne godine",,
"360","ba_fbih_360","equity","l10n_ba.l10n_ba_fbih_chart_template","Otkupljene vlastite dionice i udjeli",,
"400","ba_fbih_400","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja za troškove u garantnom roku",,
"401","ba_fbih_401","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja za troškove obnavljanja prirodnih bogatstava",,
"402","ba_fbih_402","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja za zadržane kaucije i depozite",,
"403","ba_fbih_403","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja za troškove restrukturiranja",,
"404","ba_fbih_404","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja za naknade i beneficije zaposlenika",,
"405","ba_fbih_405","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja po započetim sudskim sporovima",,
"406","ba_fbih_406","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Rezervisanja po štetnim ugovorima",,
"407","ba_fbih_407","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Unaprijed naplaćeni i drugi odloženi prihodi",,
"408","ba_fbih_408","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Odložene porezne obaveze",,
"409","ba_fbih_409","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala dugoročna rezervisanja i razgraničenja",,
"410","ba_fbih_410","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze koje se mogu konvertovati u kapital",,
"411","ba_fbih_411","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročne obaveze prema povezanim pravnim licima",,
"412","ba_fbih_412","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze po emitovanim dugoročnim vrijednosnim papirima",,
"413","ba_fbih_413","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročni krediti uzeti u zemlji",,
"414","ba_fbih_414","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročni krediti uzeti u inostranstvu",,
"415","ba_fbih_415","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročne obaveze po finansijskom lizingu u zemlji",,
"416","ba_fbih_416","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročne obaveze po finansijskom lizingu u inostranstvu",,
"417","ba_fbih_417","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Dugoročne obaveze po fer vrijednosti kroz račun dobiti i gubitka",,
"419","ba_fbih_419","liability_non_current","l10n_ba.l10n_ba_fbih_chart_template","Ostale dugoročne obaveze",,
"420","ba_fbih_420","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze prema povezanim pravnim licima",,
"421","ba_fbih_421","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze po emitovanim kratkoročnim vrijednosnim papirima",,
"422","ba_fbih_422","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni krediti uzeti u zemlji",,
"423","ba_fbih_423","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni krediti uzeti u inostranstvu",,
"424","ba_fbih_424","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni dio dugoročnih kredita",,
"425","ba_fbih_425","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročni dio dugoročnih obaveza po finansijskom lizingu",,
"427","ba_fbih_427","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Kratkoročne obaveze po fer vrijednosti kroz račun dobiti i gubitka",,
"429","ba_fbih_429","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Ostale kratkoročne finansijske obaveze",,
"430","ba_fbih_430","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Primljeni avansi, depoziti i kaucije",,
"431","ba_fbih_431","liability_payable","l10n_ba.l10n_ba_fbih_chart_template","Dobavljači - povezana pravna lica",,"True"
"432","ba_fbih_432","liability_payable","l10n_ba.l10n_ba_fbih_chart_template","Dobavljači u zemlji",,"True"
"433","ba_fbih_433","liability_payable","l10n_ba.l10n_ba_fbih_chart_template","Dobavljači u inostranstvu",,"True"
"439","ba_fbih_439","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Ostale obaveze iz poslovanja",,
"440","ba_fbih_440","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze prema uvozniku",,
"441","ba_fbih_441","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze po osnovu izvoza za tuđi račun",,
"442","ba_fbih_442","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze po osnovu komisione i konsignacione prodaje",,
"443","ba_fbih_443","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze iz zajedničkih poslova",,
"449","ba_fbih_449","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Ostale obaveze iz specifičnih poslova",,
"450","ba_fbih_450","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za neto plaće i naknade plaća",,
"451","ba_fbih_451","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za porez i posebne dažbine na plaće i naknade plaća",,
"452","ba_fbih_452","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za doprinose u vezi plaća i naknada plaća",,
"453","ba_fbih_453","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za neto naknade plaća koje se refundiraju",,
"454","ba_fbih_454","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade plaća koje se refundiraju",,
"455","ba_fbih_455","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za doprinose u vezi naknada plaća koje se refundiraju",,
"456","ba_fbih_456","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za ostala neto primanja, naknade troškova i materijalna prava zaposlenih",,
"457","ba_fbih_457","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za porez i posebne dažbine na ostala primanja zaposlenih",,
"458","ba_fbih_458","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za doprinose u vezi ostalih primanja zaposlenih",,
"460","ba_fbih_460","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze po osnovu kamata i troškova finansiranja",,
"461","ba_fbih_461","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za dividende",,
"462","ba_fbih_462","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za učešće u dobiti",,
"463","ba_fbih_463","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za naknade članovima odbora, komisija i sl.",,
"464","ba_fbih_464","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade članovima odbora, komisija i sl.",,
"465","ba_fbih_465","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za doprinose u vezi naknada članovima odbora, komisija i sl.",,
"466","ba_fbih_466","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze prema fizičkim licima za naknade po ugovorima",,
"467","ba_fbih_467","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za porez i posebne dažbine na naknade fizičkim licima",,
"468","ba_fbih_468","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Obaveze za doprinose u vezi naknada fizičkim licima",,
"469","ba_fbih_469","liability_current","l10n_ba.l10n_ba_fbih_chart_template","Ostale obaveze",,
"470","ba_fbih_470","liability_current","l10n_ba.l10n_ba_fbih_chart_template","PDV po osnovu isporuka drugim obveznicima PDV-a",,
"471","ba_fbih_471","liability_current","l10n_ba.l10n_ba_fbih_chart_template","PDV po primljenim avansima",,
"472","ba_fbih_472","liability_current","l10n_ba.l10n_ba_fbih_chart_template","PDV po osnovu vlastite potrošnje u neposlovne svrhe",,
"473","ba_fbih_473","liability_current","l10n_ba.l10n_ba_fbih_chart_template","PDV po osnovu isporuka neobveznicima PDV-a (krajnja potrošnja)",,
